filePath,Class_Description,XMin,XMax,YMin,YMax
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-89678786647a1e05.png,Waffle,0.0,0.2525,0.28089899999999995,0.893258
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-GN-12140.png,Egg (Food),0.0,0.9984379999999999,0.0,0.997917
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-fe469c8fa9f74a91.png,Sandwich,0.031883999999999996,0.996135,0.33125,0.851875
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Banana-13ad9f8981f2f877.png,Banana,0.0,0.885,0.0,0.999375
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Salad-419d1d9480858b07.png,Salad,0.0,0.998333,0.30375,0.9225
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Bagel-GN-51147.png,Bagel,0.47,0.903125,0.285833,0.985833
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Strawberry-873487d99acb0542.png,Strawberry,0.100781,0.611719,0.188053,0.943584
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Muffin-8b2c53c056e10fd4.png,Muffin,0.205078,0.41308599999999995,0.470052,0.695312
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-GN-8991.png,Egg (Food),0.48875,0.645,0.4,0.623333
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-GN-5491.png,Egg (Food),0.05125,0.60625,0.2025,0.854167
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Carrot-GN-925.png,Carrot,0.003752,0.9990620000000001,0.103125,0.999375
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Tomato-0184bc158dae6f92.png,Tomato,0.117647,0.308824,0.428105,0.6486930000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Potato-GN-24044.png,Potato,0.52875,0.7475,0.378731,0.710821
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-7d9dd1eb47f23d14.png,Waffle,0.0,0.05125,0.0,0.221667
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Tomato-2e09cb0c333e3a93.png,Tomato,0.289375,0.50125,0.294559,0.574109
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Cucumber-GN-12241.png,Cucumber,0.3225,0.4525,0.138211,0.302168
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Waffle-HFlip-21746.png,Waffle,0.21568600000000002,0.72549,0.22222199999999998,0.660131
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Bread-0456e156c5760a6c.png,Bread,0.0,0.8625,0.45375,0.90125
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Hot dog-GN-21022.png,Hot dog,0.0,0.965,0.0,0.9990559999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pizza-420084f561f3620b.png,Pizza,0.003125,0.91375,0.135977,1.0
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Cheese-GN-25053.png,Cheese,0.0,0.964375,0.0,0.9990620000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-b008942b414e0895.png,Sandwich,0.009804,0.395425,0.416667,0.803922
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Grape-GN-445.png,Grape,0.398125,0.735,0.075985,0.9990620000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pancake-HFlip-43125.png,Pancake,0.737,1.0,0.589205,0.913043
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lobster-20d115b597f302b0.png,Lobster,0.33625,0.704375,0.43083299999999997,0.663333
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pasta-7d3c82bf77223a52.png,Pasta,0.0,0.999375,0.035,0.999167
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Burrito-36beb9c4e01f25e6.png,Burrito,0.229375,0.71,0.22045,0.767355
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cookie-GN-5799.png,Cookie,0.358125,0.670625,0.292568,0.683913
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pear-GN-19876.png,Pear,0.128333,0.598333,0.08375,0.6625
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Muffin-b44d201d26f546b8.png,Muffin,0.1575,0.755,0.54125,1.0
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Burrito-VFlip-45112.png,Burrito,0.12166700000000001,0.475,0.49875,0.86875
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Orange-GN-16625.png,Orange,0.12625,0.920625,0.32,0.920833
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cookie-c6e70ba5616df0b2.png,Cookie,0.0,0.9990000000000001,0.188906,0.998501
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-07d09d13f3e548d5.png,French fries,0.0,0.663125,0.195,0.878333
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Lemon-221da6c056c3efec.png,Lemon,0.73,0.855625,0.154167,0.353333
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Bread-915e8ae66ff0ccf7.png,Bread,0.26125,0.855,0.288398,0.689503
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Cheese-GN-31764.png,Cheese,0.506875,0.821875,0.320225,0.6282770000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Bagel-GN-51184.png,Bagel,0.27125,0.64,0.001876,0.375235
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Carrot-GN-10891.png,Carrot,0.11900000000000001,0.915,0.49700000000000005,0.784
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Apple-GN-2290.png,Apple,0.355469,0.47031300000000004,0.40208299999999997,0.542708
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Muffin-cdf6516996e75ba2.png,Muffin,0.37449899999999997,0.562149,0.563177,0.803851
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Banana-GN-17444.png,Banana,0.28625,0.555,0.504167,0.8225
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cucumber-8ba418ecf29f2ed4.png,Cucumber,0.15875,0.335625,0.673852,0.813496
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Burrito-HFlip-43264.png,Burrito,0.188125,0.974375,0.057740999999999994,0.8677819999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Taco-HFlip-11386.png,Taco,0.077083,1.0,0.232031,0.980469
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pasta-33159f91ed60dd9b.png,Pasta,0.166875,0.9025,0.10061200000000001,0.87664
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Bread-4e8bb0919e79a030.png,Bread,0.0,0.998366,0.143791,0.895425
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Pasta-GN-6148.png,Pasta,0.15375,0.818125,0.151635,0.8741329999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-0f58c1a8e9f7358e.png,French fries,0.69875,0.999375,0.20643699999999998,0.948946
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Burrito-HFlip-10486.png,Burrito,0.465686,1.0,0.320261,0.9918299999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Hot dog-GN-1495.png,Hot dog,0.08375,0.931875,0.020368,1.0
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-HFlip-11783.png,Sandwich,0.000625,1.0,0.0,0.821757
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Pancake-HFlip-42755.png,Pancake,0.245625,0.808125,0.16604100000000002,0.8630389999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Cheese-d43a16d90e5b14a3.png,Cheese,0.44125,0.69625,0.63074,0.87254
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Egg (Food)-01bbf18af16cb4b9.png,Egg (Food),0.271875,0.41625,0.245833,0.443333
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/Orange-2fd1392813ed43a9.png,Orange,0.0875,0.949375,0.37,0.9825
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Carrot-7d69ef9045135b3a.png,Carrot,0.0,0.999375,0.0,0.9990559999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Tomato-c5ffbe9d5e8ca9e0.png,Tomato,0.0,0.923702,0.0,0.999167
/content/drive/My Drive/APS360 Project/v6-dataset/train-2/French fries-77c6b7277b59b366.png,French fries,0.565625,0.90375,0.12,0.624167
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Taco-b2f1200c820288a9.png,Taco,0.321,0.722,0.286787,0.7822819999999999
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Coffee-aced82fd5429c546.png,Coffee,0.6375,0.701875,0.777674,0.798311
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Sandwich-GN-20209.png,Sandwich,0.029375,0.41,0.436222,0.981499
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Burrito-HFlip-43914.png,Burrito,0.443125,0.835,0.025424000000000002,0.594162
/content/drive/My Drive/APS360 Project/v6-dataset/train-1/Bread-0784ca090d737049.png,Bread,0.223125,0.485625,0.40431500000000004,0.6482180000000001
/content/drive/My Drive/APS360 Project/v6-dataset/train-3/Lobster-HFlip-13833.png,Lobster,0.6,1.0,0.673565,0.999059
